Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Undervisningstyp,Lokal,Lärare,Studentgrupp,Fria grupper,Information till student,Kartlänk 
2023-01-16,10:15,2023-01-16,12:00,TDP007,Föreläsning,A25,Pontus Haglund,IP1,,Föreläsning 1: Introduktion till kursen och Ruby,
2023-01-17,13:15,2023-01-17,15:00,TDP007,Föreläsning,A35,Pontus Haglund,IP1,,"Föreläsning 2: Reflektioner kring hur man kan jämföra språk, samt några fler Ruby-detaljer (testning, likhet och reguljära uttryck)",
2023-01-17,15:15,2023-01-17,17:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-18,10:15,2023-01-18,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-19,13:15,2023-01-19,15:00,TDP007,Seminarium,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,Examinerande seminarium,
2023-01-20,10:15,2023-01-20,12:00,TDP007,Föreläsning,KY35,Pontus Haglund,IP1,,Föreläsning 3: BNF och Uppmärkningsspråk,
2023-01-20,13:15,2023-01-20,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-23,10:15,2023-01-23,12:00,TDP007,Föreläsning,A35,Pontus Haglund,IP1,,Föreläsning 4: Uppmärkningsspråk (forts.),
2023-01-23,13:15,2023-01-23,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-24,13:15,2023-01-24,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-25,10:15,2023-01-25,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-26,10:15,2023-01-26,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-27,10:15,2023-01-27,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-30,13:15,2023-01-30,15:00,TDP007,Seminarium,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,Examinerande seminarium,
2023-01-31,13:15,2023-01-31,15:00,TDP007,Föreläsning,A25,Pontus Haglund,IP1,,Föreläsning 5: Domänspecifika språk,
2023-02-01,08:15,2023-02-01,12:00,TDP007,Dugga,"SU10,SU11,SU12,SU13,SU24,SU25","Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,,
2023-02-02,08:15,2023-02-02,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-02,10:15,2023-02-02,12:00,TDP007,Föreläsning,BL32,Pontus Haglund,IP1,,Föreläsning 6: Parsning,
2023-02-02,13:15,2023-02-02,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-03,10:15,2023-02-03,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-06,13:15,2023-02-06,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-07,08:15,2023-02-07,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-08,08:15,2023-02-08,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-08,10:15,2023-02-08,12:00,TDP019,Föreläsning,T2,Pontus Haglund,IP1,,,
2023-02-10,10:15,2023-02-10,12:00,TDP007,Seminarium,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,Examinerande seminarium,
2023-02-10,13:15,2023-02-10,15:00,TDP019,Föreläsning,T2,Ulrika Axelsson,IP1,,Föreläsning språkcentrum - Muntlig presentationsteknik,
2023-02-13,10:15,2023-02-13,12:00,TDP007,Föreläsning,A35,Pontus Haglund,IP1,,Föreläsning 7: Deklarativ programmering,
2023-02-15,08:15,2023-02-15,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-15,10:15,2023-02-15,12:00,TDP019,Föreläsning,U1,Pontus Haglund,IP1,,,
2023-02-16,08:15,2023-02-16,12:00,TDP019,Handledning,,Pontus Haglund,IP1,,Lokal på IDA,
2023-02-16,13:15,2023-02-16,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-17,10:15,2023-02-17,12:00,TDP019,Föreläsning,U1,Pontus Haglund,IP1,,,
2023-02-17,13:15,2023-02-17,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-20,10:15,2023-02-20,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-20,13:15,2023-02-20,15:00,TDP019,Seminarium,KY21,Ulrika Axelsson,IP1,,Oförberedda övningar Grupp 2 - presentationsteknik,
2023-02-20,15:15,2023-02-20,17:00,TDP019,Seminarium,KY21,Birgitte Saxtrup Hermansson,IP1,,Oförberedda övningar Grupp 1 - presentationsteknik,
2023-02-21,08:15,2023-02-21,10:00,TDP007,Föreläsning,A35,Pontus Haglund,IP1,,Föreläsning 8: Utblickar och sammanfattning,
2023-02-21,13:15,2023-02-21,15:00,TDP019,Seminarium,KY24,Ulrika Axelsson,IP1,,Oförberedda övningar Grupp 3 - presentationsteknik,
2023-02-22,10:15,2023-02-22,12:00,TDP007,Seminarium,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,Examinerande seminarium,
2023-02-23,10:15,2023-02-23,12:00,TDP019,Föreläsning,U1,Pontus Haglund,IP1,,,
2023-02-24,10:15,2023-02-24,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,,
2023-02-24,13:15,2023-02-24,15:00,TDP019,Seminarium,KY21,Ulrika Axelsson,IP1,,Oförberedda övningar - presentationsteknik - uppsamlingstillfälle,
2023-02-27,10:15,2023-02-27,12:00,TDP019,Seminarium,KY24,Birgitte Saxtrup Hermansson,IP1,,Informerande tal - Grupp 1,
2023-02-27,13:15,2023-02-27,15:00,TDP019,Seminarium,KY24,Ulrika Axelsson,IP1,,Informerande tal - Grupp 2,
2023-02-28,08:15,2023-02-28,10:00,TDP019,Seminarium,KY21,Birgitte Saxtrup Hermansson,IP1,,Informerande tal - Grupp 3,
2023-02-28,13:15,2023-02-28,17:00,TDP019,Handledning,,Pontus Haglund,IP1,,Lokal på IDA,
2023-03-01,08:15,2023-03-01,12:00,TDP007,Dugga,"SU11,SU12,SU13,SU14,SU24,SU25","Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,,
2023-03-02,10:15,2023-03-02,12:00,TDP019,Seminarium,KY25,Birgitte Saxtrup Hermansson,IP1,,Informerande tal - Grupp 5,
2023-03-02,13:15,2023-03-02,15:00,TDP019,Seminarium,KY25,Ulrika Axelsson,IP1,,Informerande tal - Grupp 6,
2023-03-02,15:15,2023-03-02,17:00,TDP019,Seminarium,KY25,Ulrika Axelsson,IP1,,Informerande tal - Grupp 4,
2023-03-03,13:15,2023-03-03,15:00,TDP019,Seminarium,KY24,Ulrika Axelsson,IP1,,Informerande tal - Uppsamlingstillfälle,
2023-03-07,13:15,2023-03-07,17:00,TDP019,Handledning,,Pontus Haglund,IP1,,Lokal på IDA,
2023-03-27,13:15,2023-03-27,15:00,TDP019,Föreläsning,T2,Birgitte Saxtrup Hermansson,IP1,,Föreläsning språkcentrum - Rapportskrivning,
2023-03-29,10:15,2023-03-29,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-04-05,10:15,2023-04-05,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-04-12,10:15,2023-04-12,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-04-19,10:15,2023-04-19,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-04-26,10:15,2023-04-26,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-05-03,10:15,2023-05-03,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-05-10,10:15,2023-05-10,12:00,TDP019,Handledning,Studio_IP1,Pontus Haglund,IP1,,Även lokal på IDA,
2023-05-16,13:15,2023-05-16,17:00,TDP019,Redovisning,R34,,IP1,,Återkoppling,
2023-05-16,13:15,2023-05-16,17:00,TDP019,Redovisning,R35,"Birgitte Saxtrup Hermansson,Jonas Wallgren,Pontus Haglund,Ulrika Axelsson",IP1,,Återkoppling,
2023-05-17,08:15,2023-05-17,12:00,TDP019,Redovisning,R34,"Birgitte Saxtrup Hermansson,Jonas Wallgren,Pontus Haglund,Ulrika Axelsson",IP1,,Redovisning i halvklass,
2023-05-17,08:15,2023-05-17,12:00,TDP019,Redovisning,R35,,IP1,,Redovisning i halvklass,
